state,district,Enrolments,Updates,UER,Youth_Ratio,Child_Dependency,UER_ZScore,Is_Anomaly,Zone_Strategy,Predicted_Trajectory
100000,100000,218.0,0.0,0.0,0.0045871559633027525,0.0,-0.6180452103944817,False,GREEN: Enrolment Van,Will transition to YELLOW within 3-5 years
Andaman & Nicobar Islands,Andamans,75.0,2765.0,36.38157894736842,1.0,70.0,0.23559926648769144,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andaman & Nicobar Islands,Nicobars,1.0,6.0,3.0,1.0,1.0,-0.5476542734219191,False,GREEN: Enrolment Van,Stable in current zone
Andaman & Nicobar Islands,South Andaman,38.0,672.0,17.23076923076923,1.0,38.0,-0.21374854675719926,False,YELLOW: Hybrid Center,Stable in current zone
Andaman and Nicobar Islands,Nicobar,75.0,2598.0,34.18421052631579,1.0,64.0,0.18404099247708647,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andaman and Nicobar Islands,North And Middle Andaman,132.0,8392.0,63.097744360902254,1.0,128.0,0.8624579050785636,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andaman and Nicobar Islands,South Andaman,190.0,13511.0,70.73821989528795,1.0,178.0,1.041731315672347,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Adilabad,1419.0,81329.0,57.27394366197183,0.9992952783650458,568.5,0.7258103090988377,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Alluri Sitharama Raju,1255.0,31478.0,25.062101910828027,0.9729083665338646,31.571428571428573,-0.02999693172613653,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Anakapalli,543.0,20183.0,37.10110294117647,0.9852670349907919,58.111111111111114,0.25248192252048784,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Anantapur,4415.0,162310.0,36.75498188405797,1.0,4089.0,0.24436066068165277,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Ananthapur,1994.0,114158.0,57.22205513784461,1.0,1843.0,0.724592815155025,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Ananthapuramu,3187.0,165546.0,51.92785445420326,0.996862252902416,274.3636363636364,0.6003715662742597,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Annamayya,1021.0,43346.0,42.41291585127202,0.8971596474045054,8.18867924528302,0.37711641844201443,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Bapatla,492.0,19496.0,39.545638945233264,0.967479674796748,24.764705882352942,0.3098396491167284,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Chittoor,8195.0,420984.0,51.364568081991216,0.9947528981086028,170.29545454545453,0.5871548144329658,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Cuddapah,5934.0,254463.0,42.87497893850042,0.9996629592180654,1839.6666666666667,0.3879581029921618,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,665.0,21462.0,32.22522522522522,0.9744360902255639,34.333333333333336,0.13807605552400565,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,East Godavari,7678.0,457875.0,59.62690454486261,0.9986975774941391,651.0,0.7810193495009946,False,RED: Express Update Hub,Stable RED zone - long-term update demand
Andhra Pradesh,Eluru,629.0,25814.0,40.974603174603175,0.9745627980922098,33.411764705882355,0.34336835945193633,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Guntur,9729.0,468915.0,48.19270298047277,0.9964025079658753,243.58333333333334,0.5127312956174805,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Hyderabad,4840.0,141950.0,29.322454038421814,0.9997933884297521,1915.5,0.06996646097198918,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,K.V.Rangareddy,69.0,1291.0,18.442857142857143,1.0,55.0,-0.18530854548220418,False,YELLOW: Hybrid Center,Stable in current zone
Andhra Pradesh,K.v. Rangareddy,19.0,570.0,28.5,1.0,15.0,0.05066869084486269,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Kakinada,969.0,39967.0,41.203092783505156,0.9721362229102167,30.642857142857142,0.34872955867163796,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Karim Nagar,82.0,2848.0,34.31325301204819,1.0,71.0,0.18706879963707732,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Karimnagar,659.0,27458.0,41.6030303030303,1.0,552.0,0.3581135509149238,False,YELLOW: Hybrid Center,Will transition to RED within 2-3 years
Andhra Pradesh,Khammam,1133.0,73326.0,64.66137566137566,1.0,869.0,0.89914639585188,False,RED: Express Update Hub,Stable RED zone - long-term update demand
